Term1	Term2	String1	String2	Mean	StdDev	RawScores
moscow	moscow_kremlin	Moscow	Moscow Kremlin	100.0000	0.0000	[100, 100, 100, 100, 100, 100]
vladimir_putin	moscow	Vladimir Putin	Moscow	98.8333	2.1922	[94, 100, 100, 100, 99, 100]
shanghai_art_museum	shanghai	Shanghai art museum	Shanghai	98.4000	1.8547	[99, 95, 98, 100, 100]
asia	china	Asia	China	97.4000	2.8705	[100, 99, 93, 100, 95]
greece	mount_olympus	Greece	Mount Olympus	96.8000	3.8678	[95, 100, 99, 90, 100]
julius_caesar	roman_army	Julius Caesar	Roman army	96.7500	3.4911	[100, 97, 99, 91]
the_louvre	paris	The Louvre	Paris	96.6667	3.4960	[100, 97, 91, 99, 100, 93]
ivan_the_terrible	russia	Ivan the Terrible	Russia	96.3333	4.1899	[99, 94, 99, 88, 100, 98]
tigris	euphrates	Tigris	Euphrates	96.2000	3.8158	[90, 97, 100, 94, 100]
munich	fc_bayern_munich	Munich	F.C. Bayern Munich	95.8000	4.5782	[98, 98, 100, 87, 96]
russia	moscow_metro	Russia	Moscow Metro	95.1667	4.2197	[96, 87, 94, 100, 95, 99]
volga_river	dnieper_river	Volga River	Dnieper	94.7500	2.2776	[93, 97, 97, 92]
new_york_city	new_york_yankees	New York City	New York Yankees	94.6667	9.4985	[100, 100, 94, 74, 100, 100]
mount_st._helens	washington_(state)	Mount St. Helens	Washington (state)	94.4000	4.2237	[93, 93, 88, 98, 100]
cleopatra	ramesses_ii	Cleopatra	Ramesses II	94.0000	6.6030	[97, 100, 82, 99, 92]
himeji_castle	japan	Himeji Castle	Japan	93.2500	7.1894	[100, 90, 100, 83]
michael_jordan	national_basketball_association	Michael Jordan	National Basketball Association	93.0000	9.0554	[100, 98, 95, 91, 74, 100]
iraq	iran	Iraq	Iran	93.0000	6.5422	[97, 95, 100, 81, 92]
iran	university_of_tehran	Iran	University of Tehran	93.0000	7.8102	[98, 80, 94, 100]
jeremy_clarkson	bbc_worldwide	Jeremy Clarkson	BBC Worldwide	92.5000	7.6322	[87, 100, 83, 100]
hirohito	tokyo	Hirohito	Tokyo	92.0000	6.0663	[86, 99, 91, 99, 85]
england	university_of_cambridge	England	University of Cambridge	92.0000	5.4314	[91, 94, 99, 84]
real_madrid_c.f.	fc_barcelona	Real Madrid C.F.	FC Barcelona	91.8333	11.4078	[100, 100, 94, 68, 100, 89]
new_jersey	princeton_university	New Jersey	Princeton University	91.8000	13.4373	[97, 99, 100, 65, 98]
barack_obama	hillary_rodham_clinton	Barack Obama	Hillary Rodham Clinton	91.6000	5.7480	[86, 89, 86, 98, 99]
italy	vatican_hill	Italy	Vatican Hill	91.1667	12.4555	[64, 100, 99, 93, 93, 98]
lionel_messi	fifa	Lionel Messi	FIFA	90.6667	7.1802	[82, 100, 87, 99, 83, 93]
barack_obama	john_mccain	Barack Obama	John McCain	89.6667	8.2192	[99, 84, 92, 100, 86, 77]
