Term1	Term2	String1	String2	Mean	StdDev	RawScores
ferrari	lamborghini	Ferrari	Lamborghini	97.6000	2.2450	[97, 100, 100, 94, 97]
river_kent	river_thames	River Kent	River Thames	93.6000	10.3653	[98, 100, 97, 73, 100]
ronald_reagan	barack_obama	Ronald Reagan	Barack Obama	93.5000	8.6168	[100, 79, 100, 95]
mount_st._helens	mount_vesuvius	Mount St. Helens	Mount vesuvius	93.0000	6.2849	[100, 93, 96, 83]
asia	china	Asia	China	92.7500	6.3787	[82, 94, 97, 98]
modern_gallery,_zagreb	zagreb	Modern Gallery, Zagreb	Zagreb	92.2500	7.2241	[82, 89, 100, 98]
fc_dynamo_voronezh	leicester_city_f.c.	F.C. Dynamo Voronezh	Leicester City F.C.	92.0000	7.4833	[80, 100, 92, 96]
new_york_city	new_york_yankees	New York City	New York Yankees	91.5000	12.0104	[100, 95, 71, 100]
vladimir_putin	moscow	Vladimir Putin	Moscow	91.4000	12.6586	[91, 67, 99, 100, 100]
condé_nast	virgin_media	Condé Nast	Virgin Media	90.8000	10.4575	[96, 72, 99, 87, 100]
iraq	iran	Iraq	Iran	90.8000	7.1386	[100, 90, 89, 96, 79]
rocky_mountains	himalayas	Rocky Mountains	Himalayas	90.7500	9.8330	[100, 90, 98, 75]
cambodia	khmer_rouge	Cambodia	Khmer Rouge	90.7500	12.1115	[70, 95, 98, 100]
michael_jordan	national_basketball_association	Michael Jordan	National Basketball Association	90.0000	12.3288	[92, 66, 94, 98, 100]
the_louvre	paris	The Louvre	Paris	89.8000	8.3762	[89, 98, 76, 87, 99]
brad_pitt	leonardo_dicaprio	Brad Pitt	Leonardo DiCaprio	89.8000	8.3042	[80, 98, 100, 81, 90]
volga_river	nile	Volga River	Nile	89.7500	12.0908	[94, 98, 69, 98]
italy	france	Italy	France	89.0000	6.8191	[79, 91, 98, 88]
blue_ridge_mountains	catskill_mountains	Blue Ridge Mountains	Catskill Mountains	88.8000	7.4673	[81, 100, 86, 95, 82]
